application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-101,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Dept,K.C.Colony, Chinthagattu Camp Hanumakonda",IRRIGATION AND CAD,Hanamkonda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-102,tg2026q3_01,Telangana,"Irrigation &CAD Department(Telangana Development Corporation Lmt),Hyd",IRRIGATION AND CAD,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-103,tg2026q3_01,Telangana,"Irrigation &CAD Department,Annapurna colony",IRRIGATION AND CAD,Annapurna colony,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-113,tg2026q3_01,Telangana,"Labour Employment Training&Factories Department,Cir.No.35, Hyderabad",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-115,tg2026q3_01,Telangana,"Labour Employment Training&Factories Department,Labour-II, Hyderabad",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-122,tg2026q3_01,Telangana,"Municipal Administration&Urban Development Department, Narsampet",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Narsampet,,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-123,tg2026q3_01,Telangana,"Municipal Administration&Urban Development, Kamareddy",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Kamareddy,,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-125,tg2026q3_01,Telangana,"O/o Tahsildar, Mahamutharam, Jayashankar Bhupalapally Dist",O/O TAHSILDAR,Jayashankar Bhupalapally,Mahamutharam,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-132,tg2026q3_01,Telangana,Panchayat Raj & Rural (PIU Division) Gadwal,PANCHAYAT RAJ AND RURAL,Jogulamba Gadwal,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-136,tg2026q3_01,Telangana,"Panchayat Raj & Rural Development Department, Sirgapur, Sangareddy",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Sangareddy,Sirgapur,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-139,tg2026q3_01,Telangana,"Panchayat Raj &Rural development dept,MPP Dammapeta",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Bhadradri Kothagudem,Dammapeta,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-149,tg2026q3_01,Telangana,"Panchayat Raj&Rural Development, Achampet, Nagarkurnool Dist",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Nagarkurnool,Achampet,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-157,tg2026q3_01,Telangana,Panchayath Raj&Rural Department(Mandal Praja Parishad)Chennaraopet,PANCHAYATH RAJ AND RURAL,Hanumakonda,Chennaraopet,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-164,tg2026q3_01,Telangana,"Registration and Stamps Department, Mahabubnagar",REGISTRATION AND STAMPS,Mahabubnagar,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-166,tg2026q3_01,Telangana,"Registration and Stamps Department,SRO Gadwal",REGISTRATION AND STAMPS,SRO Gadwal,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-169,tg2026q3_01,Telangana,"Registration and Stamps Department,Serilingampally",REGISTRATION AND STAMPS,Serilingampally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-170,tg2026q3_01,Telangana,"Registration and Stamps Department,Suryapet",REGISTRATION AND STAMPS,Suryapet,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-171,tg2026q3_01,Telangana,"REVENUE DEPARTMENT, Sangareddy town, Sangareddy",REVENUE,Sangareddy,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-180,tg2026q3_01,Telangana,"Revenue Department,Banswada",REVENUE,Banswada,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-185,tg2026q3_01,Telangana,Revenue(Collectorate) Mulugu,REVENUE,Mulugu,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-196,tg2026q3_01,Telangana,Scheduled Caste (GovtSCBH)Department,SCHEDULED CASTE,Department,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
