application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-002,tg2026q3_02,Telangana,"Agriculture& Cooperation Department, Tharigoppula",AGRICULTURE AND COOPERATION,Tharigoppula,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-005,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) AIZA,ANIMAL HUSBADRY AND VETERINARY,AIZA,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-008,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Gattulppala Pally,ANIMAL HUSBADRY AND VETERINARY,Gattulppala Pally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-014,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) SirpurT,ANIMAL HUSBADRY AND VETERINARY,SirpurT,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-017,tg2026q3_02,Telangana,"Animal Husbadry & Veterinary Department(PVC),Julapalli",ANIMAL HUSBADRY AND VETERINARY,Julapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-019,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC).Mangapeta,ANIMAL HUSBADRY AND VETERINARY,.Mangapeta,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-021,tg2026q3_02,Telangana,"Animal Husbandry&Fisheries Department, Peddpalli",ANIMAL HUSBANDRY AND FISHERIES,Peddapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-022,tg2026q3_02,Telangana,"Animal husbandry &Fisheries Department,Masab Tank, Hyderabad",ANIMAL HUSBANDRY AND FISHERIES,Hyderabad,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-027,tg2026q3_02,Telangana,"BC Welfare,Dist. BC Development Office, Adilabad",BC WELFARE,Adilabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-035,tg2026q3_02,Telangana,"Consumer Affairs&CS Department, Hyd.",CONSUMER AFFAIRS AND CS,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-036,tg2026q3_02,Telangana,"Consumer Affairs&CS Department,Mahabubnagar",CONSUMER AFFAIRS AND CS,Mahabubnagar,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-039,tg2026q3_02,Telangana,"Cooperation Department, Nagarkunool",COOPERATION,Nagarkunool,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-051,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Department,Hyd",EFST,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-055,tg2026q3_02,Telangana,"Energy Department (TGTRANSCO) Mint Compound, Hyderabad",ENERGY,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-057,tg2026q3_02,Telangana,"Environment,Forest ,Sciences&Tech Department,Khammam",ENVIRONMENT,Khammam,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-058,tg2026q3_02,Telangana,"Environment,Forests,Science&Tech Department, Chennur",ENVIRONMENT,Chennur,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-061,tg2026q3_02,Telangana,"Finance Department(Sub Treasury), Kodakandla",FINANCE,Kodakandla,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-064,tg2026q3_02,Telangana,"Fire Station, Huzurabad",FIRE STATION,Huzurabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-067,tg2026q3_02,Telangana,"Ground Water Department, Mahabubabad District",GROUND WATER,Mahabubabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-075,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,HYDERABAD",HEALTH MEDICAL AND FAMILY WELFARE,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-078,tg2026q3_02,Telangana,"Higher Education(Intermediate Education)Department,Mulugu",HIGHER EDUCATION,Mulugu,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-079,tg2026q3_02,Telangana,"Higher Education(TS Council of Higher Education)Department,Hyd",HIGHER EDUCATION,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-081,tg2026q3_02,Telangana,"Home Department(15th Battalion),Khammam",HOME,Khammam,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-082,tg2026q3_02,Telangana,"Home Department(ADGP, Women Safety Wing),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-090,tg2026q3_02,Telangana,"Industries&Commerce Department,Medak",INDUSTRIES AND COMMERCE,Medak,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-091,tg2026q3_02,Telangana,"Industries&CommerceDepartment, Jangaon",INDUSTRIES AND COMMERCEDEPARTMENT,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-095,tg2026q3_02,Telangana,"Irrigation & CAD (IW&PW)Department,EE Division 1 Kothagudem",IRRIGATION AND CAD,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-097,tg2026q3_02,Telangana,"Irrigation & CAD Department,Nizambad Urban",IRRIGATION AND CAD,Nizambad Urban,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-101,tg2026q3_02,Telangana,"Irrigation&CAD Department,Division No.1, Mancherial",IRRIGATION AND CAD,Mancherial,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-105,tg2026q3_02,Telangana,"Labour Employment ,Training &Factories Department, Kukatpally",LABOUR EMPLOYMENT,Kukatpally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-107,tg2026q3_02,Telangana,"Labour Employment ,Training &Factories Department, Nachram",LABOUR EMPLOYMENT,Nachram,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-122,tg2026q3_02,Telangana,"O/o Tahsildar, Tekumatla",O/O TAHSILDAR,Tekumatla,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-128,tg2026q3_02,Telangana,"Panchayat Raj & Rural (DYEE PR SD Manopad), Jogulamba Gadwal",PANCHAYAT RAJ AND RURAL,Jogulamba Gadwal,Manopad,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-136,tg2026q3_02,Telangana,Panchayat Raj & Rural Development(Mandal Praja Parishad) Domakonda,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Kamareddy,Domakonda,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-137,tg2026q3_02,Telangana,Panchayat Raj & Rural Development(Mandal Praja Parishad) Madnoor,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Kamareddy,Madnoor,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-138,tg2026q3_02,Telangana,"Panchayat Raj &Rural development dept,MPP Annapureddipalli",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Bhadradri Kothagudem,Annapureddypalli,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-140,tg2026q3_02,Telangana,"Panchayat Raj and Rural Development, Mancherial",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Mancherial,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-145,tg2026q3_02,Telangana,"Panchayat Raj&Rural Development, Nagarkurnool,, Nagarkurnool Dist.",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Jangaon,Nagarkurnool,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
