State,Department,Website,District,Block
Telangana,"Ground Water Department, Rajanna Sircilla District",RTI_telangana,Rajanna Sircilla,NA
Telangana,"Ground Water Department, Siddipet District",RTI_telangana,Siddipet,NA
Telangana,"Ground Water Department, Wanaparthy",RTI_telangana,Wanaparthy,NA
Telangana,"Ground Water Department, Warangal Rural District",RTI_telangana,Warangal,NA
Telangana,Health Medical & Family Welfare Department(DM&HO) Narsampet,RTI_telangana,Narsampet,NA
Telangana,Health Medical & Family Welfare Department(DM&HO) Wardhannapet,RTI_telangana,Wardhannapet,NA
Telangana,Health Medical & Family Welfare Department(PHC) Chennaraopet,RTI_telangana,Chennaraopet,NA
Telangana,Health Medical & Family Welfare Department(PHC) Medapally,RTI_telangana,Medapally,NA
Telangana,Health Medical & Family Welfare Department(PHC) Nekkonda,RTI_telangana,Nekkonda,NA
Telangana,Health Medical & Family Welfare Department(PHC) Paidipally,RTI_telangana,Paidipally,NA
Telangana,Health Medical & Family Welfare Department(PHC) Parvathagiri,RTI_telangana,Parvathagiri,NA
Telangana,"Health Medical & Family Welfare Department(PHC), Banojipet",RTI_telangana,Banojipet,NA
Telangana,"Health Medical & Family Welfare Department(PHC), Geesugonda",RTI_telangana,Geesugonda,NA
Telangana,"Health Medical & Family Welfare Department(PHC), Nallabelly",RTI_telangana,Nallabelly,NA
Telangana,"Health Medical & Family Welfare Department(PHC), Sangem",RTI_telangana,Sangem,NA
Telangana,"Health Medical & Family Welfare Department(PHC),Alankanipet",RTI_telangana,Alankanipet,NA
Telangana,Health Medical & Family Welfare Department(PHC)Duggondi,RTI_telangana,Duggondi,NA
Telangana,Health Medical & Family Welfare Department(PHC)Keshavapur,RTI_telangana,Keshavapur,NA
Telangana,Health Medical & Family Welfare Department(PHC)Khanapur,RTI_telangana,Khanapur,NA
Telangana,Health Medical & Family Welfare Department(PHC)Raiparthy,RTI_telangana,Raiparthy,NA
Telangana,"Health Medical & Family Welfare (HM&FW),Koti ,Hyderabad",RTI_telangana,Hyderabad,NA
Telangana,"Health,Medical and Family welfare Department,Palwancha",RTI_telangana,Palwancha,NA
Telangana,"Health,Medical&Family welfare Department, Kamareddy",RTI_telangana,Kamareddy,NA
Telangana,"Home Department(Addl DGP, CID),TG,Hyderabad",RTI_telangana,Hyderabad,NA
Telangana,"Home Department(Anti-Narcotics Bureau),Hyderabd",RTI_telangana,Hyderabd,NA
Telangana,"Industries &Commerce Department,Kazipet",RTI_telangana,Kazipet,NA
Telangana,"Industries&Commerce Department, Kamareddy",RTI_telangana,Kamareddy,NA
Telangana,"Industries&Commerce Department,Jagtial",RTI_telangana,Jagtial,NA
Telangana,"Industries&Commerce Department,Medak",RTI_telangana,Medak,NA
Telangana,Information Technology Electronics and Communications Department,RTI_telangana,NA,NA
Telangana,Information Technology Electronics and Communications Department (IT),RTI_telangana,NA,NA
Telangana,"Irrigation & CAD (IW&PW) Department, Division 4, Jangaon",RTI_telangana,Jangaon,Jangaon
Telangana,"Irrigation & CAD(IW&PW) Department, Division No.3, K.C.Colony",RTI_telangana,Warangal,K.C.Colony
Telangana,"Irrigation & CAD(IW&PW) Department, Division 5, Jangaon",RTI_telangana,Jangaon,NA
Telangana,"Irrigation & CAD(IW&PW) Department, Division 6, Palakurthy",RTI_telangana,Palakurthy,NA
Telangana,"Irrigation & CAD(IW&PW) Department, Division No.1, Parkal",RTI_telangana,Parkal,NA
Telangana,"Irrigation & CAD(IW&PW) Department, Division No.2, Nakkalagutta",RTI_telangana,Nakkalagutta,NA
Telangana,"Irrigation & CAD(IW&PW) Department, Division No.7, R.S.Ghanpur",RTI_telangana,R.S.Ghanpur,NA
Telangana,"Irrigation & CAD(IW&PW) Department, Jangaon",RTI_telangana,Jangaon,NA
